id,date,username,word_count,hashtags,replyCount,retweetCount,likeCount,quoteCount
1635094549583499264,2023-03-13 01:44:53+00:00,IGN,17,1,5,17,106,0
1635087791313895425,2023-03-13 01:18:02+00:00,IGN,21,0,39,57,258,22
1635087289167773696,2023-03-13 01:16:02+00:00,IGN,27,0,24,20,162,4
1635079509144903681,2023-03-13 00:45:07+00:00,IGN,11,1,13,12,322,1
1635078361348448257,2023-03-13 00:40:34+00:00,IGN,20,0,74,217,3022,93
1635076599703019522,2023-03-13 00:33:34+00:00,IGN,33,0,28,343,3119,92
1635068403923689472,2023-03-13 00:01:00+00:00,IGN,22,0,5,13,105,4
1635057102925500418,2023-03-12 23:16:05+00:00,IGN,28,0,3,12,121,1
1635053327414116354,2023-03-12 23:01:05+00:00,IGN,39,0,16,38,432,4
1635045754455875584,2023-03-12 22:31:00+00:00,IGN,33,0,12,10,148,7
1635042002147463170,2023-03-12 22:16:05+00:00,IGN,36,0,14,19,309,3
1635038228742021120,2023-03-12 22:01:05+00:00,IGN,24,0,5,40,283,2
1635034452366708738,2023-03-12 21:46:05+00:00,IGN,37,0,34,243,2890,31
1635030654902763521,2023-03-12 21:31:00+00:00,IGN,14,0,13,21,147,3
1635023129415405569,2023-03-12 21:01:05+00:00,IGN,23,0,55,34,711,14
1635015555571752963,2023-03-12 20:31:00+00:00,IGN,23,0,16,31,218,10
1635011803594866696,2023-03-12 20:16:05+00:00,IGN,22,1,11,10,119,1
1635008051123228672,2023-03-12 20:01:11+00:00,IGN,29,1,34,49,508,11
1634992932129488899,2023-03-12 19:01:06+00:00,IGN,22,0,12,36,435,3
1634985379584516096,2023-03-12 18:31:05+00:00,IGN,29,0,8,24,217,2
1634962731513290754,2023-03-12 17:01:05+00:00,IGN,28,0,3,20,262,1
1634947455891513345,2023-03-12 16:00:23+00:00,IGN,28,0,9,8,116,1
1634932317964709888,2023-03-12 15:00:14+00:00,IGN,34,0,16,36,474,3
1634918476623101953,2023-03-12 14:05:14+00:00,IGN,23,0,12,44,378,2
1634902115611975682,2023-03-12 13:00:14+00:00,IGN,26,0,174,74,678,24
1634894781582016515,2023-03-12 12:31:05+00:00,IGN,23,0,9,46,327,2
1634886968839483392,2023-03-12 12:00:02+00:00,IGN,32,0,15,24,222,2
1634871893974032385,2023-03-12 11:00:08+00:00,IGN,20,0,78,85,859,27
1634856774313361412,2023-03-12 10:00:03+00:00,IGN,28,0,10,53,454,2
1634841700823711744,2023-03-12 09:00:10+00:00,IGN,42,0,10,49,495,2
1634826612666408960,2023-03-12 08:00:12+00:00,IGN,23,0,26,94,1202,2
1634811485036728320,2023-03-12 07:00:06+00:00,IGN,22,0,17,79,647,17
1634796635120193536,2023-03-12 06:01:05+00:00,IGN,45,0,6,39,315,1
1634781513576484864,2023-03-12 05:01:00+00:00,IGN,22,0,10,43,266,3
1634766436529762304,2023-03-12 04:01:05+00:00,IGN,34,0,33,46,614,6
1634758886568673280,2023-03-12 03:31:05+00:00,IGN,20,0,54,170,2123,19
1634751314675597314,2023-03-12 03:01:00+00:00,IGN,19,0,17,71,473,8
1634740229176442881,2023-03-12 02:16:57+00:00,IGN,2,0,0,0,11,0
1634739880931790848,2023-03-12 02:15:34+00:00,IGN,13,0,1,0,5,0
1634736237423591425,2023-03-12 02:01:05+00:00,IGN,37,0,18,35,264,2
1634729897796173826,2023-03-12 01:35:54+00:00,IGN,15,0,2,2,64,1
1634729786865246208,2023-03-12 01:35:27+00:00,IGN,16,0,2,1,94,1
1634721137916624905,2023-03-12 01:01:05+00:00,IGN,41,0,45,208,2649,47
1634713587829596166,2023-03-12 00:31:05+00:00,IGN,29,0,10,24,235,3
1634712141658984448,2023-03-12 00:25:20+00:00,IGN,8,0,6,4,114,1
1634711885735165952,2023-03-12 00:24:19+00:00,IGN,16,0,4,2,108,1
1634711678511386624,2023-03-12 00:23:30+00:00,IGN,18,0,35,111,839,15
1634706016003854341,2023-03-12 00:01:00+00:00,IGN,18,0,12,38,342,17
1634698488956026883,2023-03-11 23:31:05+00:00,IGN,27,0,221,111,776,246
1634690939204648961,2023-03-11 23:01:05+00:00,IGN,36,0,56,19,246,12
1634683389247733761,2023-03-11 22:31:05+00:00,IGN,32,0,7,19,222,3
1634675817400741888,2023-03-11 22:01:00+00:00,IGN,18,0,20,196,1099,44
1634668289929486343,2023-03-11 21:31:05+00:00,IGN,21,0,38,58,571,4
1634660741268615170,2023-03-11 21:01:05+00:00,IGN,39,0,142,645,5525,85
1634660741050511365,2023-03-11 21:01:05+00:00,IGN,36,0,2,9,133,1
1634630518934323210,2023-03-11 19:01:00+00:00,IGN,12,1,16,154,1570,7
1634615442860920834,2023-03-11 18:01:05+00:00,IGN,25,0,5,29,385,2
1634600143772155904,2023-03-11 17:00:18+00:00,IGN,19,0,11,13,182,3
1634585054604083200,2023-03-11 16:00:20+00:00,IGN,25,0,31,28,282,8
1634577692329754628,2023-03-11 15:31:05+00:00,IGN,31,0,245,53,1167,61
1634570144797147138,2023-03-11 15:01:06+00:00,IGN,26,0,3,9,139,1
1634569924520681472,2023-03-11 15:00:13+00:00,IGN,25,0,9,34,294,1
1634554819267506178,2023-03-11 14:00:12+00:00,IGN,20,0,11,32,270,5
1634547493894594560,2023-03-11 13:31:05+00:00,IGN,25,0,15,33,414,3
1634539707982815233,2023-03-11 13:00:09+00:00,IGN,18,0,20,48,352,3
1634524632031145985,2023-03-11 12:00:14+00:00,IGN,12,0,87,101,2061,23
1634509523275718656,2023-03-11 11:00:12+00:00,IGN,18,0,8,22,256,3
1634494445876903937,2023-03-11 10:00:17+00:00,IGN,14,0,10,23,210,3
1634479303709667329,2023-03-11 09:00:07+00:00,IGN,13,1,34,52,587,13
1634464288147492873,2023-03-11 08:00:27+00:00,IGN,22,0,19,33,302,2
1634456647190953984,2023-03-11 07:30:06+00:00,IGN,15,0,8,36,319,2
1634449123616104449,2023-03-11 07:00:12+00:00,IGN,34,0,17,17,298,2
1634441796921982976,2023-03-11 06:31:05+00:00,IGN,22,0,42,14,146,3
1634434224899125250,2023-03-11 06:01:00+00:00,IGN,31,0,13,23,205,2
1634426697087942657,2023-03-11 05:31:05+00:00,IGN,24,0,10,16,143,2
1634419125790601216,2023-03-11 05:01:00+00:00,IGN,24,0,13,9,113,2
1634411597362765825,2023-03-11 04:31:05+00:00,IGN,16,0,23,38,474,8
1634404025931292674,2023-03-11 04:01:00+00:00,IGN,32,0,12,32,302,8
